grid_id,grid_minx,grid_miny,grid_maxx,grid_maxy,物種名,taxon_name_tw,國內紅皮書評估類別,unique_grid_name
2720-72-01-24,120.29,23.1,120.3,23.108333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-24,120.29,23.1,120.3,23.108333333333,鳥類,董雞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,黑腹濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-13,120.28,23.091666666667,120.29,23.1,鳥類,紅胸濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",晶圓十五廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,水雉,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-33,120.63,24.191666666667,120.64,24.2,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-42,120.62,24.2,120.63,24.208333333333,被子植物,三葉埔姜,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-31,120.61,24.191666666667,120.62,24.2,被子植物,鐵色,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-31,120.61,24.191666666667,120.62,24.2,被子植物,臺灣火刺木,"易危（VU, Vulnerable）",晶圓十五廠
2920-79-01-04,120.99,24.75,121.0,24.758333333333,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",全球研發中心
2920-06-00-32,120.62,24.191666666667,120.63,24.2,鳥類,鴛鴦,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,鳥類,小水鴨,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,哺乳類,石虎,"瀕危（EN, Endangered）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,魚類,長脂擬鱨,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-32,120.62,24.191666666667,120.63,24.2,魚類,臺灣間爬岩鰍,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,鳥類,黑鳶,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,鳥類,小水鴨,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,鳥類,東方白鸛,"瀕危（EN, Endangered）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,兩棲類,史丹吉氏小雨蛙,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,被子植物,象牙樹,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,被子植物,狗花椒,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-01-44,120.59,24.2,120.6,24.208333333333,爬行類,柴棺龜,"極危（CR, Critically Endangered）",晶圓十五廠
2921-70-00-21,121.01,24.766666666667,121.02,24.775,兩棲類,臺北樹蛙,"易危（VU, Vulnerable）",全球研發中心
2920-06-00-40,120.6,24.2,120.61,24.208333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2720-72-01-34,120.29,23.108333333333,120.3,23.116666666667,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2920-06-10-02,120.62,24.208333333333,120.63,24.216666666667,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-10-02,120.62,24.208333333333,120.63,24.216666666667,哺乳類,石虎,"瀕危（EN, Endangered）",晶圓十五廠
2920-06-10-02,120.62,24.208333333333,120.63,24.216666666667,被子植物,土沉香,"易危（VU, Vulnerable）",晶圓十五廠
2720-72-01-31,120.26,23.108333333333,120.27,23.116666666667,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-31,120.26,23.108333333333,120.27,23.116666666667,鳥類,水雉,"易危（VU, Vulnerable）",先進封測二廠
2921-70-00-32,121.02,24.775,121.03,24.783333333333,兩棲類,臺北樹蛙,"易危（VU, Vulnerable）",全球研發中心
2920-06-00-43,120.63,24.2,120.64,24.208333333333,鳥類,水雉,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-43,120.63,24.2,120.64,24.208333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-43,120.63,24.2,120.64,24.208333333333,哺乳類,石虎,"瀕危（EN, Endangered）",晶圓十五廠
2720-72-01-11,120.26,23.091666666667,120.27,23.1,鳥類,黃鸝,"易危（VU, Vulnerable）",先進封測二廠
2720-72-11-01,120.26,23.125,120.27,23.133333333333,鳥類,黃鸝,"易危（VU, Vulnerable）",先進封測二廠
2920-06-10-10,120.6,24.216666666667,120.61,24.225,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",晶圓十五廠
2921-60-10-40,121.0,24.741666666667,121.01,24.75,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",全球研發中心
2720-72-01-30,120.25,23.108333333333,120.26,23.116666666667,鳥類,水雉,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-30,120.25,23.108333333333,120.26,23.116666666667,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2921-70-00-01,121.01,24.75,121.02,24.758333333333,哺乳類,穿山甲,"易危（VU, Vulnerable）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,鳥類,黑鳶,"易危（VU, Vulnerable）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,被子植物,田代氏黃芩,"易危（VU, Vulnerable）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,被子植物,臺灣蒲公英,"瀕危（EN, Endangered）",全球研發中心
2921-70-00-31,121.01,24.775,121.02,24.783333333333,被子植物,細葉蚊母樹,"易危（VU, Vulnerable）",全球研發中心
2720-72-01-20,120.25,23.1,120.26,23.108333333333,鳥類,水雉,"易危（VU, Vulnerable）",先進封測二廠
2921-70-00-40,121.0,24.783333333333,121.01,24.791666666667,鳥類,棕背伯勞,"易危（VU, Vulnerable）",全球研發中心
2720-72-01-12,120.27,23.091666666667,120.28,23.1,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2920-06-00-41,120.61,24.2,120.62,24.208333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",晶圓十五廠
2920-06-00-41,120.61,24.2,120.62,24.208333333333,被子植物,繖楊,"瀕危（EN, Endangered）",晶圓十五廠
2920-06-00-41,120.61,24.2,120.62,24.208333333333,被子植物,穗花棋盤腳,"易危（VU, Vulnerable）",晶圓十五廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,鳥類,紅胸濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,鳥類,小水鴨,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,鳥類,黑腹濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-23,120.28,23.1,120.29,23.108333333333,鳥類,黃鸝,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-40,120.25,23.116666666667,120.26,23.125,鳥類,水雉,"易危（VU, Vulnerable）",先進封測二廠
2920-05-11-04,120.59,24.208333333333,120.6,24.216666666667,鳥類,小水鴨,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-11-04,120.59,24.208333333333,120.6,24.216666666667,鳥類,黑頭文鳥,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-11-04,120.59,24.208333333333,120.6,24.216666666667,被子植物,狗花椒,"易危（VU, Vulnerable）",晶圓十五廠
2920-05-11-04,120.59,24.208333333333,120.6,24.216666666667,被子植物,繖楊,"瀕危（EN, Endangered）",晶圓十五廠
2920-05-11-04,120.59,24.208333333333,120.6,24.216666666667,被子植物,臺灣火刺木,"易危（VU, Vulnerable）",晶圓十五廠
2720-72-01-22,120.27,23.1,120.28,23.108333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-22,120.27,23.1,120.28,23.108333333333,鳥類,黃鸝,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-21,120.26,23.1,120.27,23.108333333333,鳥類,丹氏濱鷸,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-21,120.26,23.1,120.27,23.108333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2920-06-10-20,120.6,24.225,120.61,24.233333333333,鳥類,臺灣畫眉,"瀕危（EN, Endangered）",晶圓十五廠
2720-72-11-00,120.25,23.125,120.26,23.133333333333,鳥類,棕背伯勞,"易危（VU, Vulnerable）",先進封測二廠
2720-72-01-44,120.29,23.116666666667,120.3,23.125,哺乳類,金黃鼠耳蝠,"易危（VU, Vulnerable）",先進封測二廠
